brand,name,specLink
powercolor,Radeon RX 9070 Red Devil,https://pangoly.com/en/product/powercolor-radeon-rx-9070-red-devil
powercolor,Red Devil Radeon RX 9070 XT,https://pangoly.com/en/product/powercolor-red-devil-radeon-rx-9070-xt
powercolor,Radeon RX 9070 Hellhound,https://pangoly.com/en/product/powercolor-radeon-rx-9070-hellhound
powercolor,Radeon RX 9070 XT Reaper,https://pangoly.com/en/product/powercolor-radeon-rx-9070-xt-reaper
powercolor,Radeon RX 9070 Reaper,https://pangoly.com/en/product/powercolor-radeon-rx-9070-reaper
powercolor,Radeon RX 9070 XT Hellhound,https://pangoly.com/en/product/powercolor-radeon-rx-9070-xt-hellhound
powercolor,Radeon RX 7600 XT Fighter,https://pangoly.com/en/product/powercolor-radeon-rx-7600-xt-fighter
powercolor,Fighter Radeon RX 7800 XT,https://pangoly.com/en/product/powercolor-fighter-radeon-rx-7800-xt
powercolor,Fighter Radeon RX 7700 XT,https://pangoly.com/en/product/powercolor-fighter-radeon-rx-7700-xt
powercolor,Hellhound Radeon RX 7800 XT,https://pangoly.com/en/product/powercolor-hellhound-radeon-rx-7800-xt
powercolor,Hellhound Radeon RX 7700 XT,https://pangoly.com/en/product/powercolor-hellhound-radeon-rx-7700-xt
powercolor,Red Devil Radeon RX 7800 XT,https://pangoly.com/en/product/powercolor-red-devil-radeon-rx-7800-xt
powercolor,Red Devil Radeon RX 7700 XT,https://pangoly.com/en/product/powercolor-red-devil-radeon-rx-7700-xt
powercolor,Red Devil Radeon Rx 7800 Xt Limited Edition,https://pangoly.com/en/product/powercolor-red-devil-radeon-rx-7800-xt-limited-edition
powercolor,Fighter Radeon RX 7600,https://pangoly.com/en/product/powercolor-fighter-radeon-rx-7600
powercolor,Hellhound Radeon RX 7600,https://pangoly.com/en/product/powercolor-hellhound-radeon-rx-7600
powercolor,Radeon Rx 7900 Xtx Red Devil Limited Edition,https://pangoly.com/en/product/powercolor-radeon-rx-7900-xtx-red-devil-limited-edition
powercolor,Radeon RX 7900 XT HellHound OC,https://pangoly.com/en/product/powercolor-radeon-rx-7900-xt-hellhound-oc
powercolor,RX 7900 XT 20G,https://pangoly.com/en/product/powercolor-rx-7900-xt-20g
powercolor,Radeon RX 7900 XT Red Devil OC,https://pangoly.com/en/product/powercolor-radeon-rx-7900-xt-red-devil-oc
powercolor,Radeon RX 7900 XTX HellHound OC,https://pangoly.com/en/product/powercolor-radeon-rx-7900-xtx-hellhound-oc
